product,origin,price,url
Poires William vertes FILIERE QUALITE CARREFOUR ( les 700g ) ,AFRIQUEDUSUD,1.39€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276552250706_PHOTOSITE_20160322_164107_0.jpg?placeholder=1
Poires Angelys ( les 800g ) ,FRANCE,1.83€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276555766914_PHOTOSITE_20170627_162250_0.jpg?placeholder=1
Orange à dessert CARREFOUR ( le kilo ) ,FRANCE,1.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276552299309_PHOTOSITE_20210420_180514_0.jpg?placeholder=1
Oranges à jus Salutiana ( le filet de 2 kg ) ,ESPAGNE,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554564818_PHOTOSITE_20140327_222154_0.jpg?placeholder=1
Oranges sans pesticides de synthèse dès la floraison FILIERE QUALITE CARREFOUR ( le sachet de 1Kg ) ,ESPAGNE,2.00€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3523680420892_PHOTOSITE_20181127_162130_0.jpg?placeholder=1
Oranges à feuilles ( les 1Kg ) ,PORTUGAL,1.39€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276556285155_PHOTOSITE_20190222_160140_1.jpg?placeholder=1
Oranges à jus Valencia Late ( le filet de 3 kg ) ,ESPAGNE,2.49€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554564832_PHOTOSITE_20160405_162306_0.jpg?placeholder=1
Oranges sanguines Torocco CARREFOUR ( le filet de 1.5Kg ) ,ITALIE,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276550349983_PHOTOSITE_20170127_162217_0.jpg?placeholder=1
Oranges à dessert Navel ( le filet de 3Kg ) ,ARGENTINE,1.98€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276554564528_PHOTOSITE_20150616_083428_0.jpg?placeholder=1
Oranges à jus Salustiana ( le filet de 2 kg ) ,ESPAGNE,1.99€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3276557112665_PHOTOSITE_20160318_163913_0.jpg?placeholder=1
Pomelo rouge ( la pièce ) ,ISRAEL,1.19€,https://www.carrefour.fr/media/280x280/Photosite/PRODUITS_FRAIS_TRANSFORMATION/FRUITS_ET_LEGUMES/3000001035008_PHOTOSITE_20160318_163328_0.jpg?placeholder=1
